instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
g03_i11_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,14279.437959966483,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.506,nearest_neighbour,4,500,12,True,405.737,10907.392000000002
g03_i12_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,14398.760397430164,lkh_mdmtsp_v5_portfolio,0.466,nearest_neighbour,4,500,13,True,188.026,9029.592
g03_i13_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,14279.437959966483,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.495,nearest_neighbour,4,500,12,True,405.582,11004.286800000002
g03_i14_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,14398.760397430164,lkh_mdmtsp_v5_portfolio,0.478,nearest_neighbour,4,500,13,True,187.909,9029.3952
g03_i15_c500_d5_m15_adversarial,adversarial,13,13,13,1.0,13,1,13504.709791748246,lkh_mdmtsp_v5_portfolio,0.487,nearest_neighbour,5,500,15,True,580.457,11539.818000000003
g03_i16_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,13103.336810862796,lkh_mdmtsp_v5_portfolio,0.503,nearest_neighbour,4,500,12,True,437.219,10967.759200000002
g03_i17_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,12898.369547475113,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.48,nearest_neighbour,4,500,13,True,696.578,11295.008800000001
g03_i18_c500_d5_m15_adversarial,adversarial,13,13,13,1.0,13,1,12829.490044493752,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.485,nearest_neighbour,5,500,15,True,446.869,11855.471000000001
g03_i19_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,12971.102774775887,lkh_mdmtsp_v5_portfolio,0.478,nearest_neighbour,4,500,12,True,548.367,10975.2194
g03_i20_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,12084.049422143926,lkh_mdmtsp_v5_portfolio,0.474,nearest_neighbour,4,500,13,True,743.746,11251.679000000002
g03_i21_c500_d5_m15_adversarial,adversarial,13,13,13,1.0,13,1,12616.336730244282,lkh_mdmtsp_v4_portfolio,0.49,nearest_neighbour,5,500,15,True,290.801,11791.3582
