instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
group_04_instance_02_customers_1000_depots_5_salesmen_19_random,random,11,11,11,1.0,11,1,27224.720609110995,lkh_mdmtsp_v5_portfolio,3.395,nearest_neighbour,5,1000,19,True,11.467,72067.316
group_04_instance_03_customers_1000_depots_7_salesmen_19_random,random,10,10,10,1.0,10,1,28190.125551634763,lkh_mdmtsp_v5_portfolio,3.379,nearest_neighbour,7,1000,19,True,10.7745,73693.51229999999
group_04_instance_04_customers_1000_depots_7_salesmen_12_random,random,10,10,10,1.0,10,1,27591.175173488555,lkh_mdmtsp_v5_portfolio,3.454,nearest_neighbour,7,1000,12,True,13.954,66556.574
group_04_instance_05_customers_1000_depots_10_salesmen_23_random,random,10,10,10,1.0,10,1,27751.984919026134,lkh_mdmtsp_v3,3.503,nearest_neighbour,10,1000,23,True,10.9825,76679.6667
group_05_instance_01_customers_10000_depots_1_salesmen_6_random,random,8,8,8,1.0,8,1,89035.09709229346,"lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",582.003,nearest_neighbour,1,10000,6,True,1256.376,37057.340599999996
group_05_instance_02_customers_10000_depots_2_salesmen_9_random,random,8,8,8,1.0,8,1,88815.76729441588,lkh_mdmtsp_v5_portfolio,414.13,nearest_neighbour,2,10000,9,True,6357.232,22351.838499999998
group_05_instance_03_customers_10000_depots_3_salesmen_18_random,random,8,8,8,1.0,8,1,88952.17390063936,lkh_mdmtsp_v5_portfolio,413.123,nearest_neighbour,3,10000,18,True,4139.145,12781.6465
group_05_instance_04_customers_10000_depots_1_salesmen_8_random,random,8,8,8,1.0,8,1,88746.89145171788,"lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",422.113,nearest_neighbour,1,10000,8,True,1120.769,20395.218
group_05_instance_05_customers_10000_depots_2_salesmen_9_random,random,8,8,8,1.0,8,1,88849.07808907267,lkh_mdmtsp_v5_portfolio,417.764,nearest_neighbour,2,10000,9,True,2067.4425,15938.670499999998
group_06_instance_01_customers_10000_depots_7_salesmen_16_clustered,clustered,8,8,8,1.0,8,1,42888.34688658472,lkh_mdmtsp_v5_portfolio,415.872,nearest_neighbour,7,10000,16,True,6702.294,14052.129399999998
group_06_instance_02_customers_10000_depots_6_salesmen_41_clustered,clustered,8,8,8,1.0,8,1,47587.78469615278,lkh_mdmtsp_v5_portfolio,415.676,nearest_neighbour,6,10000,41,True,3002.441,5484.7282
group_06_instance_03_customers_10000_depots_10_salesmen_79_grid,grid,8,8,8,1.0,8,1,114410.23375878073,lkh_mdmtsp_v5_portfolio,408.209,nearest_neighbour,10,10000,79,True,1070.448,5164.538899999998
group_06_instance_04_customers_10000_depots_7_salesmen_15_grid,grid,8,8,8,1.0,8,1,113847.55808691542,lkh_mdmtsp_v5_portfolio,415.36,nearest_neighbour,7,10000,15,True,2775.605,4870.509599999999
group_06_instance_05_customers_10000_depots_7_salesmen_15_adversarial,adversarial,8,8,8,1.0,8,1,32205.265439868184,lkh_mdmtsp_v5_portfolio,433.349,nearest_neighbour,7,10000,15,True,19487.6205,54023.4394
group_06_instance_06_customers_10000_depots_7_salesmen_33_adversarial,adversarial,8,8,8,1.0,8,1,40231.04027191248,lkh_mdmtsp_v5_portfolio,420.305,nearest_neighbour,7,10000,33,True,4937.913,16502.194199999994
group_06_instance_07_customers_10000_depots_10_salesmen_70_line,line,8,8,8,1.0,8,1,20615.945373388884,lkh_mdmtsp_v5_portfolio,414.88,nearest_neighbour,10,10000,70,True,2998.656,17085.448599999992
group_06_instance_08_customers_10000_depots_7_salesmen_45_line,line,8,8,8,1.0,8,1,27047.77749468562,"lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",412.246,nearest_neighbour,7,10000,45,True,1786.3065000000001,3483.5310999999992
group_07_instance_01_customers_25000_depots_9_salesmen_20_random,random,8,8,8,1.0,8,1,139671.27939647733,lkh_mdmtsp_v5_portfolio,4746.373,nearest_neighbour,9,25000,20,True,109864.1015,382033.4340999999
group_07_instance_02_customers_25000_depots_5_salesmen_26_random,random,7,7,7,1.0,7,1,141559.95132538973,simulated_annealing_v1,10522.831,nearest_neighbour_2opt,5,25000,26,True,65446.306,424101.2760000003
