status,run_json,output_png,customer_count,algorithm_id,instance_name,message
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_02/g02_i08_c50_d4_m11_random/20260506T005954Z__research_until_25000__cheapest_insertion__g02_i08_c50_d4_m11_random__seed_42__2040391bf342.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_02/g02_i08_c50_d4_m11_random/20260506T005954Z__research_until_25000__cheapest_insertion__g02_i08_c50_d4_m11_random__seed_42__2040391bf342__solution.png,50,cheapest_insertion,group_02_instance_08_customers_50_depots_4_salesmen_11_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_02/g02_i09_c50_d5_m10_random/20260506T005954Z__research_until_25000__cheapest_insertion__g02_i09_c50_d5_m10_random__seed_42__394a9c209cad.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_02/g02_i09_c50_d5_m10_random/20260506T005954Z__research_until_25000__cheapest_insertion__g02_i09_c50_d5_m10_random__seed_42__394a9c209cad__solution.png,50,cheapest_insertion,group_02_instance_09_customers_50_depots_5_salesmen_10_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_02/g02_i10_c50_d4_m20_random/20260506T005954Z__research_until_25000__cheapest_insertion__g02_i10_c50_d4_m20_random__seed_42__7a2299f9b2f0.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_02/g02_i10_c50_d4_m20_random/20260506T005954Z__research_until_25000__cheapest_insertion__g02_i10_c50_d4_m20_random__seed_42__7a2299f9b2f0__solution.png,50,cheapest_insertion,group_02_instance_10_customers_50_depots_4_salesmen_20_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i01_c500_d5_m21_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i01_c500_d5_m21_random__seed_42__175bfb36e4fa.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i01_c500_d5_m21_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i01_c500_d5_m21_random__seed_42__175bfb36e4fa__solution.png,500,cheapest_insertion,group_03_instance_01_customers_500_depots_5_salesmen_21_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i02_c500_d3_m10_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i02_c500_d3_m10_random__seed_42__29ce6a1a5ba2.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i02_c500_d3_m10_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i02_c500_d3_m10_random__seed_42__29ce6a1a5ba2__solution.png,500,cheapest_insertion,group_03_instance_02_customers_500_depots_3_salesmen_10_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i03_c500_d3_m12_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i03_c500_d3_m12_random__seed_42__a4f055720596.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i03_c500_d3_m12_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i03_c500_d3_m12_random__seed_42__a4f055720596__solution.png,500,cheapest_insertion,group_03_instance_03_customers_500_depots_3_salesmen_12_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i04_c500_d5_m19_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i04_c500_d5_m19_random__seed_42__95e216d86ca9.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i04_c500_d5_m19_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i04_c500_d5_m19_random__seed_42__95e216d86ca9__solution.png,500,cheapest_insertion,group_03_instance_04_customers_500_depots_5_salesmen_19_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i05_c500_d3_m6_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i05_c500_d3_m6_random__seed_42__53b0f3c34d63.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i05_c500_d3_m6_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i05_c500_d3_m6_random__seed_42__53b0f3c34d63__solution.png,500,cheapest_insertion,group_03_instance_05_customers_500_depots_3_salesmen_6_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i06_c500_d3_m3_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i06_c500_d3_m3_random__seed_42__f7d4589c5330.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i06_c500_d3_m3_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i06_c500_d3_m3_random__seed_42__f7d4589c5330__solution.png,500,cheapest_insertion,group_03_instance_06_customers_500_depots_3_salesmen_3_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i07_c500_d5_m20_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i07_c500_d5_m20_random__seed_42__7affcf95836a.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i07_c500_d5_m20_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i07_c500_d5_m20_random__seed_42__7affcf95836a__solution.png,500,cheapest_insertion,group_03_instance_07_customers_500_depots_5_salesmen_20_random,ok
